codigo,descricao,categoria,estoque_atual,custo_unitario,consumo_medio_mensal,lead_time_dias,valor_estoque
MAT-0001,Material fictício 1,EPI,14,165.55,149,17,2317.7
MAT-0002,Material fictício 2,Fixação,300,65.43,132,22,19629.0
MAT-0003,Material fictício 3,Ferramentas,64,181.37,37,14,11607.68
MAT-0004,Material fictício 4,Fixação,344,453.88,119,23,156134.72
MAT-0005,Material fictício 5,Fixação,326,139.71,123,21,45545.46
MAT-0006,Material fictício 6,Hidráulica,8,325.61,26,28,2604.88
MAT-0007,Material fictício 7,Ferramentas,343,5.26,42,23,1804.18
MAT-0008,Material fictício 8,Ferramentas,128,179.52,113,30,22978.56
MAT-0009,Material fictício 9,Ferramentas,491,155.87,55,27,76532.17
MAT-0010,Material fictício 10,Fixação,135,86.5,12,30,11677.5
MAT-0011,Material fictício 11,EPI,471,269.37,31,9,126873.27
MAT-0012,Material fictício 12,Ferramentas,62,244.99,31,30,15189.38
MAT-0013,Material fictício 13,Manutenção,138,347.76,25,25,47990.88
MAT-0014,Material fictício 14,Fixação,498,138.36,34,27,68903.28
MAT-0015,Material fictício 15,Hidráulica,80,125.84,101,13,10067.2
MAT-0016,Material fictício 16,EPI,391,88.3,32,16,34525.3
MAT-0017,Material fictício 17,Manutenção,162,113.29,115,25,18352.98
MAT-0018,Material fictício 18,Manutenção,418,281.26,65,5,117566.68
MAT-0019,Material fictício 19,Hidráulica,288,204.9,52,30,59011.2
MAT-0020,Material fictício 20,EPI,378,37.12,8,30,14031.36
MAT-0021,Material fictício 21,Fixação,260,130.69,39,5,33979.4
MAT-0022,Material fictício 22,Elétrica,489,127.2,53,19,62200.8
MAT-0023,Material fictício 23,EPI,230,349.67,21,6,80424.1
MAT-0024,Material fictício 24,Hidráulica,40,357.57,50,26,14302.8
MAT-0025,Material fictício 25,Manutenção,27,78.3,121,20,2114.1
MAT-0026,Material fictício 26,Fixação,134,498.88,10,29,66849.92
MAT-0027,Material fictício 27,EPI,200,137.06,103,12,27412.0
MAT-0028,Material fictício 28,Elétrica,327,488.42,128,17,159713.34
MAT-0029,Material fictício 29,Elétrica,267,208.46,41,25,55658.82
MAT-0030,Material fictício 30,Ferramentas,417,21.36,28,5,8907.12
MAT-0031,Material fictício 31,Ferramentas,32,175.81,97,20,5625.92
MAT-0032,Material fictício 32,Hidráulica,47,319.0,50,11,14993.0
MAT-0033,Material fictício 33,EPI,406,341.95,99,9,138831.7
MAT-0034,Material fictício 34,EPI,61,267.81,103,26,16336.41
MAT-0035,Material fictício 35,Manutenção,215,226.65,120,27,48729.75
MAT-0036,Material fictício 36,Manutenção,292,278.68,71,7,81374.56
MAT-0037,Material fictício 37,Manutenção,98,298.38,132,16,29241.24
MAT-0038,Material fictício 38,Ferramentas,171,45.02,22,30,7698.42
MAT-0039,Material fictício 39,EPI,359,187.98,29,20,67484.82
MAT-0040,Material fictício 40,EPI,213,124.87,58,23,26597.31
MAT-0041,Material fictício 41,Elétrica,474,402.55,62,9,190808.7
MAT-0042,Material fictício 42,Ferramentas,34,237.8,71,26,8085.2
MAT-0043,Material fictício 43,Fixação,448,491.79,108,29,220321.92
MAT-0044,Material fictício 44,Ferramentas,226,202.42,28,18,45746.92
MAT-0045,Material fictício 45,Fixação,100,409.13,118,9,40913.0
MAT-0046,Material fictício 46,Elétrica,430,400.18,36,19,172077.4
MAT-0047,Material fictício 47,Hidráulica,461,79.61,90,21,36700.21
MAT-0048,Material fictício 48,EPI,130,256.56,131,18,33352.8
MAT-0049,Material fictício 49,Elétrica,256,349.43,134,24,89454.08
MAT-0050,Material fictício 50,EPI,4,429.89,21,9,1719.56
MAT-0051,Material fictício 51,Manutenção,217,166.35,108,16,36097.95
MAT-0052,Material fictício 52,Hidráulica,254,114.02,141,20,28961.08
MAT-0053,Material fictício 53,Hidráulica,397,357.02,47,30,141736.94
MAT-0054,Material fictício 54,Elétrica,358,405.7,43,30,145240.6
MAT-0055,Material fictício 55,Hidráulica,282,177.59,30,20,50080.38
MAT-0056,Material fictício 56,Fixação,392,52.61,103,25,20623.12
MAT-0057,Material fictício 57,Hidráulica,206,470.56,54,11,96935.36
MAT-0058,Material fictício 58,EPI,14,201.8,17,8,2825.2
MAT-0059,Material fictício 59,EPI,345,261.29,64,5,90145.05
MAT-0060,Material fictício 60,EPI,41,419.67,139,9,17206.47
MAT-0061,Material fictício 61,EPI,379,339.47,61,27,128659.13
MAT-0062,Material fictício 62,Fixação,460,368.93,40,30,169707.8
MAT-0063,Material fictício 63,Ferramentas,178,108.49,24,14,19311.22
MAT-0064,Material fictício 64,Manutenção,62,273.02,69,26,16927.24
MAT-0065,Material fictício 65,Elétrica,351,349.41,12,9,122642.91
MAT-0066,Material fictício 66,EPI,230,118.13,148,8,27169.9
MAT-0067,Material fictício 67,Hidráulica,240,91.6,146,6,21984.0
MAT-0068,Material fictício 68,EPI,51,491.17,119,24,25049.67
MAT-0069,Material fictício 69,Hidráulica,95,260.73,147,14,24769.35
MAT-0070,Material fictício 70,Manutenção,387,134.11,96,30,51900.57
MAT-0071,Material fictício 71,Manutenção,221,498.15,102,23,110091.15
MAT-0072,Material fictício 72,Manutenção,484,482.88,70,30,233713.92
MAT-0073,Material fictício 73,Hidráulica,406,281.36,36,5,114232.16
MAT-0074,Material fictício 74,EPI,230,441.9,90,28,101637.0
MAT-0075,Material fictício 75,Manutenção,236,98.41,55,9,23224.76
MAT-0076,Material fictício 76,Fixação,142,143.04,67,17,20311.68
MAT-0077,Material fictício 77,Hidráulica,170,351.68,129,8,59785.6
MAT-0078,Material fictício 78,Hidráulica,28,424.1,62,20,11874.8
MAT-0079,Material fictício 79,EPI,35,428.88,62,28,15010.8
MAT-0080,Material fictício 80,Hidráulica,12,205.23,90,20,2462.76
MAT-0081,Material fictício 81,Hidráulica,159,444.45,53,27,70667.55
MAT-0082,Material fictício 82,Manutenção,326,426.21,74,6,138944.46
MAT-0083,Material fictício 83,EPI,186,468.14,19,21,87074.04
MAT-0084,Material fictício 84,Manutenção,242,393.74,58,24,95285.08
MAT-0085,Material fictício 85,Manutenção,85,336.15,105,28,28572.75
MAT-0086,Material fictício 86,EPI,283,292.44,12,16,82760.52
MAT-0087,Material fictício 87,Elétrica,65,189.28,57,22,12303.2
MAT-0088,Material fictício 88,Manutenção,169,470.37,64,7,79492.53
MAT-0089,Material fictício 89,Fixação,44,486.96,112,5,21426.24
MAT-0090,Material fictício 90,Fixação,61,145.54,9,5,8877.94
MAT-0091,Material fictício 91,Hidráulica,440,156.16,107,23,68710.4
MAT-0092,Material fictício 92,Fixação,133,245.38,10,15,32635.54
MAT-0093,Material fictício 93,Hidráulica,283,226.97,113,9,64232.51
MAT-0094,Material fictício 94,Elétrica,27,497.26,120,16,13426.02
MAT-0095,Material fictício 95,EPI,107,92.08,98,7,9852.56
MAT-0096,Material fictício 96,EPI,43,13.95,51,5,599.85
MAT-0097,Material fictício 97,EPI,339,249.48,103,5,84573.72
MAT-0098,Material fictício 98,Fixação,285,93.52,59,12,26653.2
MAT-0099,Material fictício 99,Elétrica,445,186.4,56,14,82948.0
MAT-0100,Material fictício 100,Fixação,330,373.36,148,15,123208.8
